,precision_at_k,mean_reciprocal_rank,ndcg,model,user
0,0.1,0.1111111111111111,0.05226953132131628,SVD,beenalee
1,0.0,0.0,0.0,NMF,beenalee
2,0.0,0.0,0.0,BPR,beenalee
3,0.0,0.02857142857142857,0.016298917918684847,SVD,gabbypm729
4,0.0,0.0,0.0,NMF,gabbypm729
5,0.0,0.0,0.0,BPR,gabbypm729
6,0.0,0.0,0.0,SVD,alextang
7,0.0,0.0,0.0,NMF,alextang
8,0.0,0.0625,0.02873076033598134,BPR,alextang
9,0.0,0.03571428571428571,0.021586053689814328,SVD,geraldne
10,0.0,0.0,0.0,NMF,geraldne
11,0.0,0.0,0.0,BPR,geraldne
12,0.0,0.05,0.0,SVD,mcgirjau
13,0.0,0.0,0.0,NMF,mcgirjau
14,0.2,0.3333333333333333,0.0,BPR,mcgirjau
15,0.2,1.0,0.1227584250173935,SVD,emmanuelwatches
16,0.0,0.0,0.0,NMF,emmanuelwatches
17,0.0,0.0,0.0,BPR,emmanuelwatches
18,0.1,0.16666666666666666,0.0784747468145004,SVD,feliomestre
19,0.0,0.0,0.0,NMF,feliomestre
20,0.0,0.0,0.0,BPR,feliomestre
21,0.0,0.02040816326530612,0.012109915513382698,SVD,jordyn28
22,0.0,0.0,0.0,NMF,jordyn28
23,0.1,0.16666666666666666,0.052870957787891214,BPR,jordyn28
24,0.0,0.025,0.01734809421662747,SVD,calliejane
25,0.0,0.0,0.0,NMF,calliejane
26,0.0,0.0,0.0,BPR,calliejane
27,0.1,0.5,0.06805939230071938,SVD,browsehorror
28,0.0,0.0,0.0,NMF,browsehorror
29,0.0,0.0,0.0,BPR,browsehorror
30,0.0,0.0,0.0,SVD,sierramk1
31,0.0,0.0,0.0,NMF,sierramk1
32,0.0,0.0,0.0,BPR,sierramk1
33,0.0,0.030303030303030304,0.01716527339909926,SVD,auxtin
34,0.0,0.0,0.0,NMF,auxtin
35,0.0,0.0,0.0,BPR,auxtin
36,0.1,0.1,0.06810616165805884,SVD,bobbywags
37,0.0,0.0,0.0,NMF,bobbywags
38,0.1,0.2,0.020981085421526928,BPR,bobbywags
39,0.0,0.0,0.0,SVD,ghostfacereveal
40,0.0,0.0,0.0,NMF,ghostfacereveal
41,0.0,0.027777777777777776,0.013176159779832067,BPR,ghostfacereveal
42,0.0,0.023809523809523808,-0.004365594953823978,SVD,frozen2013
43,0.0,0.0,0.0,NMF,frozen2013
44,0.0,0.041666666666666664,0.04080897092963517,BPR,frozen2013
45,0.0,0.03571428571428571,0.06466536243432153,SVD,ariana_cav
46,0.0,0.0,0.0,NMF,ariana_cav
47,0.0,0.0,0.0,BPR,ariana_cav
48,0.1,0.25,0.04977698552404954,SVD,freemanlattin
49,0.0,0.0,0.0,NMF,freemanlattin
50,0.0,0.0,0.0,BPR,freemanlattin
51,0.1,0.16666666666666666,0.035222161422769696,SVD,happypumpkin18
52,0.0,0.0,0.0,NMF,happypumpkin18
53,0.0,0.0,0.0,BPR,happypumpkin18
54,0.0,0.07142857142857142,0.05792685092512461,SVD,funkycowboyy
55,0.0,0.0,0.0,NMF,funkycowboyy
56,0.0,0.0,0.0,BPR,funkycowboyy
57,0.2,1.0,0.1316644487970285,SVD,i_am_shego
58,0.0,0.0,0.0,NMF,i_am_shego
59,0.0,0.0,0.0,BPR,i_am_shego
60,0.1,1.0,0.25119569966950406,SVD,samiser
61,0.0,0.0,0.0,NMF,samiser
62,0.0,0.0,0.0,BPR,samiser
63,0.3,1.0,0.19281063406626534,SVD,notmerii
64,0.0,0.0,0.0,NMF,notmerii
65,0.0,0.0,0.0,BPR,notmerii
66,0.0,0.06666666666666667,0.015552041012631268,SVD,chickenrunlover
67,0.0,0.0,0.0,NMF,chickenrunlover
68,0.0,0.0,0.0,BPR,chickenrunlover
69,0.4,0.3333333333333333,0.15996053817375047,SVD,natb294
70,0.0,0.0,0.0,NMF,natb294
71,0.0,0.0,0.0,BPR,natb294
